[ 2012-03-22T09:25:18+08:00 ] /www/read/ | INFO: Tag[ app_begin ] --START--
[ 2012-03-22T09:25:18+08:00 ] /www/read/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.044606s ]
[ 2012-03-22T09:25:18+08:00 ] /www/read/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.046251s ]
[ 2012-03-22T09:25:18+08:00 ] /www/read/login | INFO: Tag[ route_check ] --START--
[ 2012-03-22T09:25:18+08:00 ] /www/read/login | INFO: Run CheckRoute Behavior [ RunTime:0.030374s ]
[ 2012-03-22T09:25:18+08:00 ] /www/read/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.030529s ]
[ 2012-03-22T09:25:18+08:00 ] /www/read/login | INFO: Tag[ app_begin ] --START--
[ 2012-03-22T09:25:18+08:00 ] /www/read/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000885s ]
[ 2012-03-22T09:25:18+08:00 ] /www/read/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000992s ]
[ 2012-03-22T09:25:18+08:00 ] /www/read/login | NOTIC: [8] Undefined index:  userName functions.php 第 441 行.
[ 2012-03-22T09:25:18+08:00 ] /www/read/login | NOTIC: [8] Undefined index:  logout functions.php 第 441 行.
[ 2012-03-22T09:25:18+08:00 ] /www/read/login | INFO: Tag[ view_template ] --START--
[ 2012-03-22T09:25:18+08:00 ] /www/read/login | INFO: Run LocationTemplate Behavior [ RunTime:0.010059s ]
[ 2012-03-22T09:25:18+08:00 ] /www/read/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.010175s ]
[ 2012-03-22T09:25:18+08:00 ] /www/read/login | INFO: Tag[ view_parse ] --START--
[ 2012-03-22T09:25:18+08:00 ] /www/read/login | INFO: Run ParseTemplate Behavior [ RunTime:0.061756s ]
[ 2012-03-22T09:25:18+08:00 ] /www/read/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.061877s ]
[ 2012-03-22T09:25:18+08:00 ] /www/read/login | INFO: Tag[ view_filter ] --START--
[ 2012-03-22T09:25:18+08:00 ] /www/read/login | INFO: Run ContentReplace Behavior [ RunTime:0.002005s ]
[ 2012-03-22T09:25:18+08:00 ] /www/read/login | INFO: Run TokenBuild Behavior [ RunTime:0.023548s ]
[ 2012-03-22T09:25:18+08:00 ] /www/read/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001875s ]
[ 2012-03-22T09:25:18+08:00 ] /www/read/login | INFO: Run ShowRuntime Behavior [ RunTime:0.002111s ]
[ 2012-03-22T09:25:18+08:00 ] /www/read/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.029892s ]
[ 2012-03-22T09:25:18+08:00 ] /www/read/login | INFO: Tag[ view_end ] --START--
[ 2012-03-22T09:25:18+08:00 ] /www/read/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.011944s ]
[ 2012-03-22T09:25:18+08:00 ] /www/read/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.012081s ]
[ 2012-03-22T09:25:40+08:00 ] /www/read/admin | INFO: Tag[ route_check ] --START--
[ 2012-03-22T09:25:40+08:00 ] /www/read/admin | INFO: Run CheckRoute Behavior [ RunTime:0.002212s ]
[ 2012-03-22T09:25:40+08:00 ] /www/read/admin | INFO: Tag[ route_check ] --END-- [ RunTime:0.002363s ]
[ 2012-03-22T09:25:40+08:00 ] /www/read/admin | INFO: Tag[ app_begin ] --START--
[ 2012-03-22T09:25:40+08:00 ] /www/read/admin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001672s ]
[ 2012-03-22T09:25:40+08:00 ] /www/read/admin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001778s ]
[ 2012-03-22T09:25:40+08:00 ] /www/read/admin/login | INFO: Tag[ route_check ] --START--
[ 2012-03-22T09:25:40+08:00 ] /www/read/admin/login | INFO: Run CheckRoute Behavior [ RunTime:0.001292s ]
[ 2012-03-22T09:25:40+08:00 ] /www/read/admin/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001436s ]
[ 2012-03-22T09:25:40+08:00 ] /www/read/admin/login | INFO: Tag[ app_begin ] --START--
[ 2012-03-22T09:25:40+08:00 ] /www/read/admin/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000899s ]
[ 2012-03-22T09:25:40+08:00 ] /www/read/admin/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001004s ]
[ 2012-03-22T09:25:40+08:00 ] /www/read/admin/login | NOTIC: [8] Undefined index:  userName functions.php 第 441 行.
[ 2012-03-22T09:25:40+08:00 ] /www/read/admin/login | NOTIC: [8] Undefined index:  logout functions.php 第 441 行.
[ 2012-03-22T09:25:40+08:00 ] /www/read/admin/login | INFO: Tag[ view_template ] --START--
[ 2012-03-22T09:25:40+08:00 ] /www/read/admin/login | INFO: Run LocationTemplate Behavior [ RunTime:0.012259s ]
[ 2012-03-22T09:25:40+08:00 ] /www/read/admin/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.012367s ]
[ 2012-03-22T09:25:40+08:00 ] /www/read/admin/login | INFO: Tag[ view_parse ] --START--
[ 2012-03-22T09:25:40+08:00 ] /www/read/admin/login | INFO: Run ParseTemplate Behavior [ RunTime:0.045207s ]
[ 2012-03-22T09:25:40+08:00 ] /www/read/admin/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.045315s ]
[ 2012-03-22T09:25:40+08:00 ] /www/read/admin/login | INFO: Tag[ view_filter ] --START--
[ 2012-03-22T09:25:40+08:00 ] /www/read/admin/login | INFO: Run ContentReplace Behavior [ RunTime:0.001596s ]
[ 2012-03-22T09:25:40+08:00 ] /www/read/admin/login | INFO: Run TokenBuild Behavior [ RunTime:0.001867s ]
[ 2012-03-22T09:25:40+08:00 ] /www/read/admin/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002004s ]
[ 2012-03-22T09:25:40+08:00 ] /www/read/admin/login | INFO: Run ShowRuntime Behavior [ RunTime:0.001709s ]
[ 2012-03-22T09:25:40+08:00 ] /www/read/admin/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007457s ]
[ 2012-03-22T09:25:40+08:00 ] /www/read/admin/login | INFO: Tag[ view_end ] --START--
[ 2012-03-22T09:25:40+08:00 ] /www/read/admin/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.005080s ]
[ 2012-03-22T09:25:40+08:00 ] /www/read/admin/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.005686s ]
[ 2012-03-22T09:25:48+08:00 ] /www/read/Admin/check | INFO: Tag[ route_check ] --START--
[ 2012-03-22T09:25:48+08:00 ] /www/read/Admin/check | INFO: Run CheckRoute Behavior [ RunTime:0.001293s ]
[ 2012-03-22T09:25:48+08:00 ] /www/read/Admin/check | INFO: Tag[ route_check ] --END-- [ RunTime:0.001439s ]
[ 2012-03-22T09:25:48+08:00 ] /www/read/Admin/check | INFO: Tag[ app_begin ] --START--
[ 2012-03-22T09:25:48+08:00 ] /www/read/Admin/check | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000874s ]
[ 2012-03-22T09:25:48+08:00 ] /www/read/Admin/check | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000976s ]
