[ 2012-03-24T20:00:44+08:00 ] /www/read/author | INFO: Tag[ route_check ] --START--
[ 2012-03-24T20:00:44+08:00 ] /www/read/author | INFO: Run CheckRoute Behavior [ RunTime:0.008669s ]
[ 2012-03-24T20:00:44+08:00 ] /www/read/author | INFO: Tag[ route_check ] --END-- [ RunTime:0.008839s ]
[ 2012-03-24T20:00:44+08:00 ] /www/read/author | INFO: Tag[ app_begin ] --START--
[ 2012-03-24T20:00:44+08:00 ] /www/read/author | INFO: Run ReadHtmlCache Behavior [ RunTime:0.007462s ]
[ 2012-03-24T20:00:44+08:00 ] /www/read/author | INFO: Tag[ app_begin ] --END-- [ RunTime:0.007566s ]
[ 2012-03-24T20:00:44+08:00 ] /www/read/author/login | INFO: Tag[ route_check ] --START--
[ 2012-03-24T20:00:44+08:00 ] /www/read/author/login | INFO: Run CheckRoute Behavior [ RunTime:0.001450s ]
[ 2012-03-24T20:00:44+08:00 ] /www/read/author/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001611s ]
[ 2012-03-24T20:00:44+08:00 ] /www/read/author/login | INFO: Tag[ app_begin ] --START--
[ 2012-03-24T20:00:44+08:00 ] /www/read/author/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000849s ]
[ 2012-03-24T20:00:44+08:00 ] /www/read/author/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000946s ]
[ 2012-03-24T20:00:44+08:00 ] /www/read/author/login | NOTIC: [8] Undefined index:  userName functions.php 第 441 行.
[ 2012-03-24T20:00:44+08:00 ] /www/read/author/login | NOTIC: [8] Undefined index:  logout functions.php 第 441 行.
[ 2012-03-24T20:00:44+08:00 ] /www/read/author/login | INFO: Tag[ view_template ] --START--
[ 2012-03-24T20:00:44+08:00 ] /www/read/author/login | INFO: Run LocationTemplate Behavior [ RunTime:0.006411s ]
[ 2012-03-24T20:00:44+08:00 ] /www/read/author/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.006513s ]
[ 2012-03-24T20:00:44+08:00 ] /www/read/author/login | INFO: Tag[ view_parse ] --START--
[ 2012-03-24T20:00:45+08:00 ] /www/read/author/login | INFO: Run ParseTemplate Behavior [ RunTime:0.084643s ]
[ 2012-03-24T20:00:45+08:00 ] /www/read/author/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.084750s ]
[ 2012-03-24T20:00:45+08:00 ] /www/read/author/login | INFO: Tag[ view_filter ] --START--
[ 2012-03-24T20:00:45+08:00 ] /www/read/author/login | INFO: Run ContentReplace Behavior [ RunTime:0.005347s ]
[ 2012-03-24T20:00:45+08:00 ] /www/read/author/login | INFO: Run TokenBuild Behavior [ RunTime:0.005840s ]
[ 2012-03-24T20:00:45+08:00 ] /www/read/author/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.004520s ]
[ 2012-03-24T20:00:45+08:00 ] /www/read/author/login | INFO: Run ShowRuntime Behavior [ RunTime:0.006407s ]
[ 2012-03-24T20:00:45+08:00 ] /www/read/author/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.022401s ]
[ 2012-03-24T20:00:45+08:00 ] /www/read/author/login | INFO: Tag[ view_end ] --START--
[ 2012-03-24T20:00:45+08:00 ] /www/read/author/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.011213s ]
[ 2012-03-24T20:00:45+08:00 ] /www/read/author/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.011321s ]
[ 2012-03-24T20:00:55+08:00 ] /www/read/Author/check | INFO: Tag[ route_check ] --START--
[ 2012-03-24T20:00:55+08:00 ] /www/read/Author/check | INFO: Run CheckRoute Behavior [ RunTime:0.001231s ]
[ 2012-03-24T20:00:55+08:00 ] /www/read/Author/check | INFO: Tag[ route_check ] --END-- [ RunTime:0.001370s ]
[ 2012-03-24T20:00:55+08:00 ] /www/read/Author/check | INFO: Tag[ app_begin ] --START--
[ 2012-03-24T20:00:55+08:00 ] /www/read/Author/check | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000829s ]
[ 2012-03-24T20:00:55+08:00 ] /www/read/Author/check | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000925s ]
[ 2012-03-24T20:00:55+08:00 ] /www/read/Author/check | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.051864s ]
[ 2012-03-24T20:00:55+08:00 ] /www/read/Author/check | SQL: SELECT `id` FROM `user` WHERE ( `userName` = 'author' ) AND ( `userPass` = 'author' ) AND ( `state` = 1 ) AND ( `userType` = 1 ) LIMIT 1   [ RunTime:0.003432s ]
[ 2012-03-24T20:00:55+08:00 ] /www/read/author | INFO: Tag[ route_check ] --START--
[ 2012-03-24T20:00:55+08:00 ] /www/read/author | INFO: Run CheckRoute Behavior [ RunTime:0.001233s ]
[ 2012-03-24T20:00:55+08:00 ] /www/read/author | INFO: Tag[ route_check ] --END-- [ RunTime:0.001372s ]
[ 2012-03-24T20:00:55+08:00 ] /www/read/author | INFO: Tag[ app_begin ] --START--
[ 2012-03-24T20:00:55+08:00 ] /www/read/author | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000874s ]
[ 2012-03-24T20:00:55+08:00 ] /www/read/author | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000976s ]
[ 2012-03-24T20:00:55+08:00 ] /www/read/author | INFO: Tag[ view_template ] --START--
[ 2012-03-24T20:00:55+08:00 ] /www/read/author | INFO: Run LocationTemplate Behavior [ RunTime:0.001526s ]
[ 2012-03-24T20:00:55+08:00 ] /www/read/author | INFO: Tag[ view_template ] --END-- [ RunTime:0.001637s ]
[ 2012-03-24T20:00:55+08:00 ] /www/read/author | INFO: Tag[ view_parse ] --START--
[ 2012-03-24T20:00:55+08:00 ] /www/read/author | INFO: Run ParseTemplate Behavior [ RunTime:0.036073s ]
[ 2012-03-24T20:00:55+08:00 ] /www/read/author | INFO: Tag[ view_parse ] --END-- [ RunTime:0.036181s ]
[ 2012-03-24T20:00:55+08:00 ] /www/read/author | INFO: Tag[ view_filter ] --START--
[ 2012-03-24T20:00:55+08:00 ] /www/read/author | INFO: Run ContentReplace Behavior [ RunTime:0.000653s ]
[ 2012-03-24T20:00:55+08:00 ] /www/read/author | INFO: Run TokenBuild Behavior [ RunTime:0.000862s ]
[ 2012-03-24T20:00:55+08:00 ] /www/read/author | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000525s ]
[ 2012-03-24T20:00:55+08:00 ] /www/read/author | INFO: Run ShowRuntime Behavior [ RunTime:0.000742s ]
[ 2012-03-24T20:00:55+08:00 ] /www/read/author | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003049s ]
[ 2012-03-24T20:00:55+08:00 ] /www/read/author | INFO: Tag[ view_end ] --START--
[ 2012-03-24T20:00:55+08:00 ] /www/read/author | INFO: Run ShowPageTrace Behavior [ RunTime:0.003211s ]
[ 2012-03-24T20:00:55+08:00 ] /www/read/author | INFO: Tag[ view_end ] --END-- [ RunTime:0.003306s ]
[ 2012-03-24T20:02:28+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ route_check ] --START--
[ 2012-03-24T20:02:28+08:00 ] /www/read/Author/add_Novel | INFO: Run CheckRoute Behavior [ RunTime:0.002052s ]
[ 2012-03-24T20:02:28+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ route_check ] --END-- [ RunTime:0.002203s ]
