[ 2012-03-25T00:00:20+08:00 ] /www/read/Author/add_Content | INFO: Tag[ route_check ] --START--
[ 2012-03-25T00:00:20+08:00 ] /www/read/Author/add_Content | INFO: Run CheckRoute Behavior [ RunTime:0.001948s ]
[ 2012-03-25T00:00:20+08:00 ] /www/read/Author/add_Content | INFO: Tag[ route_check ] --END-- [ RunTime:0.002088s ]
[ 2012-03-25T00:00:20+08:00 ] /www/read/Author/add_Content | INFO: Tag[ app_begin ] --START--
[ 2012-03-25T00:00:20+08:00 ] /www/read/Author/add_Content | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001537s ]
[ 2012-03-25T00:00:20+08:00 ] /www/read/Author/add_Content | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001640s ]
[ 2012-03-25T00:00:20+08:00 ] /www/read/Author/add_Content | SQL: SHOW COLUMNS FROM `books` [ RunTime:0.004674s ]
[ 2012-03-25T00:00:20+08:00 ] /www/read/Author/add_Content | SQL: SELECT * FROM `books` WHERE ( `bookAuthorId` = '22' )  [ RunTime:0.004069s ]
[ 2012-03-25T00:00:20+08:00 ] /www/read/Author/add_Content | INFO: Tag[ view_template ] --START--
[ 2012-03-25T00:00:20+08:00 ] /www/read/Author/add_Content | INFO: Run LocationTemplate Behavior [ RunTime:0.000723s ]
[ 2012-03-25T00:00:20+08:00 ] /www/read/Author/add_Content | INFO: Tag[ view_template ] --END-- [ RunTime:0.000811s ]
[ 2012-03-25T00:00:20+08:00 ] /www/read/Author/add_Content | INFO: Tag[ view_parse ] --START--
[ 2012-03-25T00:00:20+08:00 ] /www/read/Author/add_Content | INFO: Run ParseTemplate Behavior [ RunTime:0.019825s ]
[ 2012-03-25T00:00:20+08:00 ] /www/read/Author/add_Content | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019929s ]
[ 2012-03-25T00:00:20+08:00 ] /www/read/Author/add_Content | INFO: Tag[ view_filter ] --START--
