[ 2012-03-26T17:08:58+08:00 ] /www/read/ebook/ | INFO: Tag[ route_check ] --START--
[ 2012-03-26T17:08:58+08:00 ] /www/read/ebook/ | INFO: Run CheckRoute Behavior [ RunTime:0.001256s ]
[ 2012-03-26T17:08:58+08:00 ] /www/read/ebook/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001396s ]
[ 2012-03-26T17:08:58+08:00 ] /www/read/ebook/ | INFO: Tag[ app_begin ] --START--
[ 2012-03-26T17:08:58+08:00 ] /www/read/ebook/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000855s ]
[ 2012-03-26T17:08:58+08:00 ] /www/read/ebook/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000959s ]
[ 2012-03-26T17:08:58+08:00 ] /www/read/ebook/ | SQL: SHOW COLUMNS FROM `bookcontents` [ RunTime:0.004222s ]
[ 2012-03-26T17:08:58+08:00 ] /www/read/ebook/ | SQL: SELECT * FROM `bookcontents` WHERE booksId=33 and contentNum=1  [ RunTime:0.004208s ]
[ 2012-03-26T17:08:58+08:00 ] /www/read/ebook/ | INFO: Tag[ view_template ] --START--
[ 2012-03-26T17:08:58+08:00 ] /www/read/ebook/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001277s ]
[ 2012-03-26T17:08:58+08:00 ] /www/read/ebook/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001379s ]
[ 2012-03-26T17:08:58+08:00 ] /www/read/ebook/ | INFO: Tag[ view_parse ] --START--
[ 2012-03-26T17:08:58+08:00 ] /www/read/ebook/ | INFO: Run ParseTemplate Behavior [ RunTime:0.018827s ]
[ 2012-03-26T17:08:58+08:00 ] /www/read/ebook/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.018936s ]
[ 2012-03-26T17:08:58+08:00 ] /www/read/ebook/ | INFO: Tag[ view_filter ] --START--
[ 2012-03-26T17:08:58+08:00 ] /www/read/ebook/ | INFO: Run ContentReplace Behavior [ RunTime:0.000664s ]
[ 2012-03-26T17:08:58+08:00 ] /www/read/ebook/ | INFO: Run TokenBuild Behavior [ RunTime:0.000919s ]
[ 2012-03-26T17:08:58+08:00 ] /www/read/ebook/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000559s ]
[ 2012-03-26T17:08:58+08:00 ] /www/read/ebook/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000901s ]
[ 2012-03-26T17:08:58+08:00 ] /www/read/ebook/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003340s ]
[ 2012-03-26T17:08:58+08:00 ] /www/read/ebook/ | INFO: Tag[ view_end ] --START--
[ 2012-03-26T17:08:58+08:00 ] /www/read/ebook/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.002541s ]
[ 2012-03-26T17:08:58+08:00 ] /www/read/ebook/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.002636s ]
[ 2012-03-26T17:10:28+08:00 ] /www/read/ebook/ | ERR: (ThinkException) 无法加载模块Ebook
[ 2012-03-26T17:10:32+08:00 ] /www/read/ | INFO: Tag[ app_begin ] --START--
[ 2012-03-26T17:10:32+08:00 ] /www/read/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001797s ]
[ 2012-03-26T17:10:32+08:00 ] /www/read/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001977s ]
[ 2012-03-26T17:10:32+08:00 ] /www/read/ | SQL: SHOW COLUMNS FROM `books` [ RunTime:0.006576s ]
[ 2012-03-26T17:10:32+08:00 ] /www/read/ | SQL: SELECT * FROM `books`  [ RunTime:0.006052s ]
[ 2012-03-26T17:10:32+08:00 ] /www/read/ | INFO: Tag[ view_template ] --START--
[ 2012-03-26T17:10:32+08:00 ] /www/read/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002218s ]
[ 2012-03-26T17:10:32+08:00 ] /www/read/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002318s ]
[ 2012-03-26T17:10:32+08:00 ] /www/read/ | INFO: Tag[ view_parse ] --START--
[ 2012-03-26T17:10:32+08:00 ] /www/read/ | INFO: Run ParseTemplate Behavior [ RunTime:0.027612s ]
[ 2012-03-26T17:10:32+08:00 ] /www/read/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.027723s ]
[ 2012-03-26T17:10:32+08:00 ] /www/read/ | INFO: Tag[ view_filter ] --START--
[ 2012-03-26T17:10:32+08:00 ] /www/read/ | INFO: Run ContentReplace Behavior [ RunTime:0.001443s ]
[ 2012-03-26T17:10:32+08:00 ] /www/read/ | INFO: Run TokenBuild Behavior [ RunTime:0.001385s ]
[ 2012-03-26T17:10:32+08:00 ] /www/read/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001264s ]
[ 2012-03-26T17:10:32+08:00 ] /www/read/ | INFO: Run ShowRuntime Behavior [ RunTime:0.002248s ]
[ 2012-03-26T17:10:32+08:00 ] /www/read/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006634s ]
[ 2012-03-26T17:10:32+08:00 ] /www/read/ | INFO: Tag[ view_end ] --START--
[ 2012-03-26T17:10:32+08:00 ] /www/read/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.002374s ]
[ 2012-03-26T17:10:32+08:00 ] /www/read/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.002501s ]
[ 2012-03-26T17:10:38+08:00 ] /www/read/index | INFO: Tag[ route_check ] --START--
[ 2012-03-26T17:10:38+08:00 ] /www/read/index | INFO: Run CheckRoute Behavior [ RunTime:0.001250s ]
[ 2012-03-26T17:10:38+08:00 ] /www/read/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001399s ]
[ 2012-03-26T17:10:38+08:00 ] /www/read/index | INFO: Tag[ app_begin ] --START--
[ 2012-03-26T17:10:38+08:00 ] /www/read/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000856s ]
[ 2012-03-26T17:10:38+08:00 ] /www/read/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000958s ]
[ 2012-03-26T17:10:38+08:00 ] /www/read/index | SQL: SHOW COLUMNS FROM `books` [ RunTime:0.015228s ]
[ 2012-03-26T17:10:38+08:00 ] /www/read/index | SQL: SELECT * FROM `books`  [ RunTime:0.003508s ]
[ 2012-03-26T17:10:38+08:00 ] /www/read/index | INFO: Tag[ view_template ] --START--
[ 2012-03-26T17:10:38+08:00 ] /www/read/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000755s ]
[ 2012-03-26T17:10:38+08:00 ] /www/read/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000847s ]
[ 2012-03-26T17:10:38+08:00 ] /www/read/index | INFO: Tag[ view_parse ] --START--
[ 2012-03-26T17:10:38+08:00 ] /www/read/index | INFO: Run ParseTemplate Behavior [ RunTime:0.021539s ]
[ 2012-03-26T17:10:38+08:00 ] /www/read/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.021649s ]
[ 2012-03-26T17:10:38+08:00 ] /www/read/index | INFO: Tag[ view_filter ] --START--
[ 2012-03-26T17:10:38+08:00 ] /www/read/index | INFO: Run ContentReplace Behavior [ RunTime:0.000755s ]
[ 2012-03-26T17:10:38+08:00 ] /www/read/index | INFO: Run TokenBuild Behavior [ RunTime:0.000688s ]
[ 2012-03-26T17:10:38+08:00 ] /www/read/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000462s ]
[ 2012-03-26T17:10:38+08:00 ] /www/read/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000955s ]
[ 2012-03-26T17:10:38+08:00 ] /www/read/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003135s ]
[ 2012-03-26T17:10:38+08:00 ] /www/read/index | INFO: Tag[ view_end ] --START--
[ 2012-03-26T17:10:38+08:00 ] /www/read/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000970s ]
[ 2012-03-26T17:10:38+08:00 ] /www/read/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001105s ]
[ 2012-03-26T17:10:42+08:00 ] /www/read/index/ebook | ERR: (ThinkException) 模板不存在[E:/php/htdocs/www/read/Tpl/Home/Index/ebook.html]
