[ 2012-03-31T10:41:07+08:00 ] /www/read/ebook/read/33/1 | INFO: Tag[ route_check ] --START--
[ 2012-03-31T10:41:07+08:00 ] /www/read/ebook/read/33/1 | INFO: Run CheckRoute Behavior [ RunTime:0.002223s ]
[ 2012-03-31T10:41:07+08:00 ] /www/read/ebook/read/33/1 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002367s ]
[ 2012-03-31T10:41:07+08:00 ] /www/read/ebook/read/33/1 | INFO: Tag[ app_begin ] --START--
[ 2012-03-31T10:41:07+08:00 ] /www/read/ebook/read/33/1 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001594s ]
[ 2012-03-31T10:41:07+08:00 ] /www/read/ebook/read/33/1 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001697s ]
[ 2012-03-31T10:41:09+08:00 ] /www/read/login | INFO: Tag[ route_check ] --START--
[ 2012-03-31T10:41:09+08:00 ] /www/read/login | INFO: Run CheckRoute Behavior [ RunTime:0.001812s ]
[ 2012-03-31T10:41:09+08:00 ] /www/read/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001957s ]
[ 2012-03-31T10:41:09+08:00 ] /www/read/login | INFO: Tag[ app_begin ] --START--
[ 2012-03-31T10:41:09+08:00 ] /www/read/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000885s ]
[ 2012-03-31T10:41:09+08:00 ] /www/read/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000978s ]
[ 2012-03-31T10:41:09+08:00 ] /www/read/login | NOTIC: [8] Undefined index:  userName functions.php 第 441 行.
[ 2012-03-31T10:41:09+08:00 ] /www/read/login | NOTIC: [8] Undefined index:  logout functions.php 第 441 行.
[ 2012-03-31T10:41:09+08:00 ] /www/read/login | INFO: Tag[ view_template ] --START--
[ 2012-03-31T10:41:09+08:00 ] /www/read/login | INFO: Run LocationTemplate Behavior [ RunTime:0.002337s ]
[ 2012-03-31T10:41:09+08:00 ] /www/read/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.002431s ]
[ 2012-03-31T10:41:09+08:00 ] /www/read/login | INFO: Tag[ view_parse ] --START--
[ 2012-03-31T10:41:09+08:00 ] /www/read/login | INFO: Run ParseTemplate Behavior [ RunTime:0.034873s ]
[ 2012-03-31T10:41:09+08:00 ] /www/read/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.034978s ]
[ 2012-03-31T10:41:09+08:00 ] /www/read/login | INFO: Tag[ view_filter ] --START--
[ 2012-03-31T10:41:09+08:00 ] /www/read/login | INFO: Run ContentReplace Behavior [ RunTime:0.001359s ]
[ 2012-03-31T10:41:09+08:00 ] /www/read/login | INFO: Run TokenBuild Behavior [ RunTime:0.001445s ]
[ 2012-03-31T10:41:09+08:00 ] /www/read/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001423s ]
[ 2012-03-31T10:41:09+08:00 ] /www/read/login | INFO: Run ShowRuntime Behavior [ RunTime:0.001586s ]
