[ 2012-03-26T10:11:39+08:00 ] /www/read/ | INFO: Tag[ app_begin ] --START--
[ 2012-03-26T10:11:39+08:00 ] /www/read/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.008875s ]
[ 2012-03-26T10:11:39+08:00 ] /www/read/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.009048s ]
[ 2012-03-26T10:11:39+08:00 ] /www/read/login | INFO: Tag[ route_check ] --START--
[ 2012-03-26T10:11:39+08:00 ] /www/read/login | INFO: Run CheckRoute Behavior [ RunTime:0.009505s ]
[ 2012-03-26T10:11:39+08:00 ] /www/read/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.009650s ]
[ 2012-03-26T10:11:39+08:00 ] /www/read/login | INFO: Tag[ app_begin ] --START--
[ 2012-03-26T10:11:39+08:00 ] /www/read/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000846s ]
[ 2012-03-26T10:11:39+08:00 ] /www/read/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000951s ]
[ 2012-03-26T10:11:39+08:00 ] /www/read/login | NOTIC: [8] Undefined index:  userName functions.php 第 441 行.
[ 2012-03-26T10:11:39+08:00 ] /www/read/login | NOTIC: [8] Undefined index:  logout functions.php 第 441 行.
[ 2012-03-26T10:11:39+08:00 ] /www/read/login | INFO: Tag[ view_template ] --START--
[ 2012-03-26T10:11:39+08:00 ] /www/read/login | INFO: Run LocationTemplate Behavior [ RunTime:0.007436s ]
[ 2012-03-26T10:11:39+08:00 ] /www/read/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.007537s ]
[ 2012-03-26T10:11:39+08:00 ] /www/read/login | INFO: Tag[ view_parse ] --START--
[ 2012-03-26T10:11:39+08:00 ] /www/read/login | INFO: Run ParseTemplate Behavior [ RunTime:0.086604s ]
[ 2012-03-26T10:11:39+08:00 ] /www/read/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.086714s ]
[ 2012-03-26T10:11:39+08:00 ] /www/read/login | INFO: Tag[ view_filter ] --START--
[ 2012-03-26T10:11:39+08:00 ] /www/read/login | INFO: Run ContentReplace Behavior [ RunTime:0.005477s ]
[ 2012-03-26T10:11:39+08:00 ] /www/read/login | INFO: Run TokenBuild Behavior [ RunTime:0.005985s ]
[ 2012-03-26T10:11:39+08:00 ] /www/read/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.004682s ]
[ 2012-03-26T10:11:39+08:00 ] /www/read/login | INFO: Run ShowRuntime Behavior [ RunTime:0.006932s ]
[ 2012-03-26T10:11:39+08:00 ] /www/read/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.023366s ]
[ 2012-03-26T10:11:39+08:00 ] /www/read/login | INFO: Tag[ view_end ] --START--
[ 2012-03-26T10:11:39+08:00 ] /www/read/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.010734s ]
[ 2012-03-26T10:11:39+08:00 ] /www/read/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.010845s ]
[ 2012-03-26T10:11:43+08:00 ] /www/read/author | INFO: Tag[ route_check ] --START--
[ 2012-03-26T10:11:43+08:00 ] /www/read/author | INFO: Run CheckRoute Behavior [ RunTime:0.001272s ]
